corpus,assignment_count,mean_bpb,assignment_sd_bpb,mean_delta_bpb,assignment_sd_delta_bpb
Tiny Shakespeare,3,2.2950077035249565,0.0013656876302730364,0.14421451418258968,0.0013656876302730364
enwik8,3,2.514832572901955,0.009332295498853003,0.18170202993533305,0.009332295498853003
