corpus,assignment_seed,mean_delta_bpb,sample_sd_delta_bpb,seed13_delta_bpb,seed29_delta_bpb,seed47_delta_bpb
Tiny Shakespeare,314159,0.1022550047418956,0.008631931705763624,0.09315178700369442,0.1032911029679826,0.11032212425400978
Tiny Shakespeare,271828,0.10133038713661573,0.0071465196159075095,0.09850376352251056,0.09602950563183343,0.10945789225550318
Tiny Shakespeare,161803,0.1153855585915761,0.005492049067203077,0.11045272227876968,0.11440046296561368,0.12130349053034495
enwik8,314159,0.0947303307131248,0.008553459085742518,0.0851623560856698,0.09739251255090631,0.10163612350279827
enwik8,271828,0.09497529640184939,0.010907241532707435,0.08272889073205869,0.09855152476082107,0.10364547371266841
